,self,id,description,iconUrl,name,subtask,avatarId
Bug,https://issues.apache.org/jira/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Bug,False,21133.0
New Feature,https://issues.apache.org/jira/rest/api/2/issuetype/2,2,"A new feature of the product, which has yet to be developed.",https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21141&avatarType=issuetype,New Feature,False,21141.0
Improvement,https://issues.apache.org/jira/rest/api/2/issuetype/4,4,An improvement or enhancement to an existing feature or task.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21140&avatarType=issuetype,Improvement,False,21140.0
Test,https://issues.apache.org/jira/rest/api/2/issuetype/6,6,"A new unit, integration or system test.",https://issues.apache.org/jira/images/icons/issuetypes/requirement.png,Test,False,
Wish,https://issues.apache.org/jira/rest/api/2/issuetype/5,5,General wishlist item.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21140&avatarType=issuetype,Wish,False,21140.0
Task,https://issues.apache.org/jira/rest/api/2/issuetype/3,3,A task that needs to be done.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21148&avatarType=issuetype,Task,False,21148.0
Sub-task,https://issues.apache.org/jira/rest/api/2/issuetype/7,7,The sub-task of the issue,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21146&avatarType=issuetype,Sub-task,True,21146.0
New JIRA Project,https://issues.apache.org/jira/rest/api/2/issuetype/8,8,A request for a new JIRA project to be set up,https://issues.apache.org/jira/images/icons/jiraman18.gif,New JIRA Project,False,
RTC,https://issues.apache.org/jira/rest/api/2/issuetype/9,9,An RTC request,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21141&avatarType=issuetype,RTC,False,21141.0
TCK Challenge,https://issues.apache.org/jira/rest/api/2/issuetype/10,10,Challenges made against the Sun Compatibility Test Suite,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21148&avatarType=issuetype,TCK Challenge,False,21148.0
Question,https://issues.apache.org/jira/rest/api/2/issuetype/11,11,A formal question. Initially added for the Legal JIRA.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Question,False,21130.0
Temp,https://issues.apache.org/jira/rest/api/2/issuetype/12,12,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Temp,False,21130.0
Brainstorming,https://issues.apache.org/jira/rest/api/2/issuetype/13,13,A place to record back and forth on notions not yet formed enough to make a 'New Feature' or 'Task',https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Brainstorming,False,21130.0
Umbrella,https://issues.apache.org/jira/rest/api/2/issuetype/14,14,An overarching type made of sub-tasks,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Umbrella,False,21130.0
Epic,https://issues.apache.org/jira/rest/api/2/issuetype/15,15,Created by Jira Software - do not edit or delete. Issue type for a big user story that needs to be broken down.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21137&avatarType=issuetype,Epic,False,21137.0
Story,https://issues.apache.org/jira/rest/api/2/issuetype/16,16,Created by Jira Software - do not edit or delete. Issue type for a user story.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21145&avatarType=issuetype,Story,False,21145.0
Technical task,https://issues.apache.org/jira/rest/api/2/issuetype/17,17,A technical task.,https://issues.apache.org/jira/images/icons/issuetypes/task_agile.png,Technical task,True,
Dependency upgrade,https://issues.apache.org/jira/rest/api/2/issuetype/18,18,Upgrading a dependency to a newer version,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21140&avatarType=issuetype,Dependency upgrade,False,21140.0
Suitable Name Search,https://issues.apache.org/jira/rest/api/2/issuetype/19,19,A search for a suitable name for an Apache product,https://issues.apache.org/jira/images/icons/issuetypes/requirement.png,Suitable Name Search,False,
Documentation,https://issues.apache.org/jira/rest/api/2/issuetype/20,20,Documentation or Website,https://issues.apache.org/jira/images/icons/issuetypes/documentation.png,Documentation,False,
Planned Work,https://issues.apache.org/jira/rest/api/2/issuetype/10000,10000,Assigned specifically to Contractors by the VP Infra or or other VP/ Board Member.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21144&avatarType=issuetype,Planned Work,False,21144.0
New Confluence Wiki,https://issues.apache.org/jira/rest/api/2/issuetype/10100,10100,A request for a new Confluence Wiki to be set up,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=23211&avatarType=issuetype,New Confluence Wiki,False,23211.0
New Git Repo,https://issues.apache.org/jira/rest/api/2/issuetype/10200,10200,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21140&avatarType=issuetype,New Git Repo,False,21140.0
Github Integration,https://issues.apache.org/jira/rest/api/2/issuetype/10201,10201,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Github Integration,False,21130.0
New TLP ,https://issues.apache.org/jira/rest/api/2/issuetype/10202,10202,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,New TLP ,False,21130.0
New TLP - Common Tasks,https://issues.apache.org/jira/rest/api/2/issuetype/10204,10204,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,New TLP - Common Tasks,False,21130.0
SVN->GIT Migration,https://issues.apache.org/jira/rest/api/2/issuetype/10205,10205,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21134&avatarType=issuetype,SVN->GIT Migration,False,21134.0
Blog - New Blog Request,https://issues.apache.org/jira/rest/api/2/issuetype/10206,10206,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Blog - New Blog Request,False,21130.0
Blogs - New Blog User Account Request,https://issues.apache.org/jira/rest/api/2/issuetype/10207,10207,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Blogs - New Blog User Account Request,False,21130.0
Blogs - Access to Existing Blog,https://issues.apache.org/jira/rest/api/2/issuetype/10208,10208,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Blogs - Access to Existing Blog,False,21130.0
New Bugzilla Project,https://issues.apache.org/jira/rest/api/2/issuetype/10209,10209,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,New Bugzilla Project,False,21130.0
SVN->GIT Mirroring,https://issues.apache.org/jira/rest/api/2/issuetype/10210,10210,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,SVN->GIT Mirroring,False,21130.0
IT Help,https://issues.apache.org/jira/rest/api/2/issuetype/10300,10300,For general IT problems and questions. Created by JIRA Service Desk.,https://issues.apache.org/jira/servicedesk/issue-type-icons?icon=it-help,IT Help,False,
Access,https://issues.apache.org/jira/rest/api/2/issuetype/10301,10301,For new system accounts or passwords. Created by JIRA Service Desk.,https://issues.apache.org/jira/servicedesk/issue-type-icons?icon=access,Access,False,
Request,https://issues.apache.org/jira/rest/api/2/issuetype/10400,10400,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Request,False,21130.0
Project,https://issues.apache.org/jira/rest/api/2/issuetype/10600,10600,Which project does this relate to?,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Project,False,21133.0
Proposal,https://issues.apache.org/jira/rest/api/2/issuetype/10700,10700,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Proposal,False,21130.0
GitBox Request,https://issues.apache.org/jira/rest/api/2/issuetype/10800,10800,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,GitBox Request,False,21130.0
Dependency,https://issues.apache.org/jira/rest/api/2/issuetype/10900,10900,Issue is dependent on ...,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Dependency,False,21130.0
Requirement,https://issues.apache.org/jira/rest/api/2/issuetype/11000,11000,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Requirement,False,21130.0
Comment,https://issues.apache.org/jira/rest/api/2/issuetype/11001,11001,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Comment,False,21130.0
Choose from below ...,https://issues.apache.org/jira/rest/api/2/issuetype/11002,11002,Choose an issue type.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Choose from below ...,False,21130.0
Outage,https://issues.apache.org/jira/rest/api/2/issuetype/11100,11100,Pagerduty will use this to create tickets when an Incident occurs.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Outage,False,21130.0
Office Hours,https://issues.apache.org/jira/rest/api/2/issuetype/11200,11200,Issues designed to be discussed during Office Hours meetings.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21144&avatarType=issuetype,Office Hours,False,21144.0
Pending Review,https://issues.apache.org/jira/rest/api/2/issuetype/11300,11300,"Acknowledged but not planned work, or long range feature request in need of scoping and prioritization.",https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Pending Review,False,21130.0
Board Vote,https://issues.apache.org/jira/rest/api/2/issuetype/11400,11400,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21136&avatarType=issuetype,Board Vote,False,21136.0
Director Vote,https://issues.apache.org/jira/rest/api/2/issuetype/11401,11401,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Director Vote,True,21133.0
Technical Debt,https://issues.apache.org/jira/rest/api/2/issuetype/11500,11500,,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Technical Debt,False,21130.0
Volunteer,https://issues.apache.org/jira/rest/api/2/issuetype/11600,11600,An issue suitable for a Volunteer,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21130&avatarType=issuetype,Volunteer,False,21130.0
